year,month,area_km2,no_obs_px,coverage_frac,source,date
2022,1,1255.1586231639747,0,1.0,landsat,2022-01-01
2022,2,1231.2350724521827,0,1.0,landsat,2022-02-01
2022,3,656.2070421174317,0,0.0,landsat,2022-03-01
2022,4,1171.9645754688454,0,1.0,landsat,2022-04-01
2022,5,1261.2944967565652,0,1.0,landsat,2022-05-01
2022,6,1152.8000371696166,0,1.0,landsat,2022-06-01
2022,7,1230.9391350764504,0,1.0,landsat,2022-07-01
2022,8,1269.9303347758523,0,1.0,landsat,2022-08-01
2022,9,1269.7336101900025,0,1.0,landsat,2022-09-01
2022,10,1245.2879027155152,0,1.0,landsat,2022-10-01
2022,11,1267.5971080236816,0,1.0,landsat,2022-11-01
2022,12,1191.5959314113502,0,1.0,landsat,2022-12-01
2023,1,1267.5266230718728,0,1.0,landsat,2023-01-01
2023,2,1137.4165902653542,0,1.0,landsat,2023-02-01
2023,3,1048.6908159264526,0,1.0,landsat,2023-03-01
2023,4,1254.0864604347878,0,1.0,landsat,2023-04-01
2023,5,901.0063163703613,0,1.0,landsat,2023-05-01
2023,6,1260.1659215417214,0,1.0,landsat,2023-06-01
2023,7,1269.914984084751,0,1.0,landsat,2023-07-01
2023,8,1269.9257088701459,0,1.0,landsat,2023-08-01
2023,9,1268.061540228943,0,1.0,landsat,2023-09-01
2023,10,1235.5388203072243,0,1.0,landsat,2023-10-01
2023,11,1064.4077565597822,0,1.0,landsat,2023-11-01
2023,12,1236.1319205682105,0,1.0,landsat,2023-12-01
2024,1,1117.9413320454446,0,1.0,landsat,2024-01-01
2024,2,524.4243803164672,0,0.0,landsat,2024-02-01
2024,3,1246.4670977787819,0,1.0,landsat,2024-03-01
2024,4,1270.3990240524024,0,1.0,landsat,2024-04-01
2024,5,1002.5280914022561,0,1.0,landsat,2024-05-01
2024,6,1268.8497997379493,0,1.0,landsat,2024-06-01
2024,7,1259.5347527478982,0,1.0,landsat,2024-07-01
2024,8,1268.3790690087624,0,1.0,landsat,2024-08-01
2024,9,1269.3820567901955,0,1.0,landsat,2024-09-01
2024,10,1264.8429313791846,0,1.0,landsat,2024-10-01
2024,11,1148.934682920105,0,1.0,landsat,2024-11-01
2024,12,1226.9468366555786,0,1.0,landsat,2024-12-01
2025,1,1250.12127876511,0,1.0,landsat,2025-01-01
2025,2,1240.471074544468,0,1.0,landsat,2025-02-01
2025,3,1266.6306610516701,0,1.0,landsat,2025-03-01
2025,4,1143.4417213494548,0,1.0,landsat,2025-04-01
2025,5,1268.7007887010232,0,1.0,landsat,2025-05-01
2025,6,1267.4044198888894,0,1.0,landsat,2025-06-01
2025,7,1254.5575070104103,0,1.0,landsat,2025-07-01
2025,8,1270.0441756632424,0,1.0,landsat,2025-08-01
2025,9,1268.842627238493,0,1.0,landsat,2025-09-01
2025,10,1269.565584581272,0,1.0,landsat,2025-10-01
2025,11,1268.6413200708905,0,1.0,landsat,2025-11-01
2025,12,977.1604358150369,0,1.0,landsat,2025-12-01
2026,1,877.1227064676858,0,0.0,landsat,2026-01-01
2026,2,332.9519087207031,0,0.0,landsat,2026-02-01
2026,3,285.96677929199217,0,0.0,landsat,2026-03-01
