year,month,area_km2,no_obs_px,coverage_frac,date
1984,3,0.0,8674433,0.0,1984-03-01
1984,4,0.0,8674433,0.0,1984-04-01
1984,5,0.0,8674433,0.0,1984-05-01
1984,6,230.307600196167,7269179,0.16199952204368862,1984-06-01
1984,7,1085.5600580980224,1575721,0.818348818879574,1984-07-01
1984,8,1162.6148165321656,3613020,0.5834863212385178,1984-08-01
1984,9,1231.7793913609619,1179850,0.8639853463621195,1984-09-01
1984,10,244.99768802172852,7205910,0.16929325524792227,1984-10-01
1984,11,0.0,8674433,0.0,1984-11-01
1984,12,0.0,8674433,0.0,1984-12-01
1985,1,0.0,8674433,0.0,1985-01-01
1985,2,0.022555506164550782,8658726,0.0018107235366277008,1985-02-01
1985,3,12.702131736999512,8212922,0.053203592672858235,1985-03-01
1985,4,300.82221333154297,6045692,0.3030447062073106,1985-04-01
1985,5,966.7578638936768,3571694,0.588250436656782,1985-05-01
1985,6,0.0,8674433,0.0,1985-06-01
1985,7,0.0,8674433,0.0,1985-07-01
1985,8,1253.328982056319,3911,0.999549134796476,1985-08-01
1985,9,0.0,8674433,0.0,1985-09-01
1985,10,0.0,8674433,0.0,1985-10-01
1985,11,0.0,8674433,0.0,1985-11-01
1985,12,0.0,8674433,0.0,1985-12-01
1986,1,0.0,8674433,0.0,1986-01-01
1986,2,123.61462515899659,8463035,0.024370238377540043,1986-02-01
1986,3,0.0,8674433,0.0,1986-03-01
1986,4,1248.3258388693969,3860173,0.5549941996208858,1986-04-01
1986,5,48.91388453137207,8045933,0.07245430335331426,1986-05-01
1986,6,1121.512729220703,1954494,0.7746833712359067,1986-06-01
1986,7,1251.668670593567,39607,0.9954340531536758,1986-07-01
1986,8,1251.736332317688,233020,0.9731371491370099,1986-08-01
1986,9,1250.9919807530518,15284,0.9982380404575146,1986-09-01
1986,10,1149.1558222492065,4027187,0.5357406069076791,1986-10-01
1986,11,0.0,8674433,0.0,1986-11-01
1986,12,0.0,8674433,0.0,1986-12-01
1987,1,0.0,8674433,0.0,1987-01-01
1987,2,201.59704422528077,8363028,0.03589917634962425,1987-02-01
1987,3,1241.0552522306518,6748052,0.2220757252952441,1987-03-01
1987,4,1246.4108721731895,4937065,0.43084867910098557,1987-04-01
1987,5,1211.5549705426758,1467831,0.8307865194186179,1987-05-01
1987,6,1253.505518478833,166226,0.9808372489590962,1987-06-01
1987,7,360.54855740673827,5750625,0.3370604165136788,1987-07-01
1987,8,1249.388102646118,1206148,0.8609536784709733,1987-08-01
1987,9,1252.7107590183014,64185,0.9926006691157797,1987-09-01
1987,10,582.9210145195923,7256658,0.1634429593265635,1987-10-01
1987,11,0.0,8674433,0.0,1987-11-01
1987,12,0.0,8674433,0.0,1987-12-01
1988,1,0.0,8674433,0.0,1988-01-01
1988,2,0.0,8674433,0.0,1988-02-01
1988,3,0.0,8674433,0.0,1988-03-01
1988,4,0.0,8674433,0.0,1988-04-01
1988,5,0.0,8674433,0.0,1988-05-01
1988,6,0.0,8674433,0.0,1988-06-01
1988,7,0.0,8674433,0.0,1988-07-01
1988,8,0.0,8674433,0.0,1988-08-01
1988,9,0.0,8674433,0.0,1988-09-01
1988,10,0.0,8674433,0.0,1988-10-01
1988,11,0.0,8674433,0.0,1988-11-01
1988,12,0.0,8674433,0.0,1988-12-01
1989,1,0.0,8674433,0.0,1989-01-01
1989,2,0.0,8674433,0.0,1989-02-01
1989,3,0.0,8674433,0.0,1989-03-01
1989,4,0.0,8674433,0.0,1989-04-01
1989,5,0.0,8674433,0.0,1989-05-01
1989,6,0.0,8674433,0.0,1989-06-01
1989,7,0.0,8674433,0.0,1989-07-01
1989,8,0.0,8674433,0.0,1989-08-01
1989,9,0.0,8674433,0.0,1989-09-01
1989,10,0.0,8674433,0.0,1989-10-01
1989,11,0.0,8674433,0.0,1989-11-01
1989,12,0.0,8674433,0.0,1989-12-01
1990,1,0.0,8674433,0.0,1990-01-01
1990,2,0.0,8674433,0.0,1990-02-01
1990,3,0.0,8674433,0.0,1990-03-01
1990,4,0.0,8674433,0.0,1990-04-01
1990,5,0.0,8674433,0.0,1990-05-01
1990,6,0.0,8674433,0.0,1990-06-01
1990,7,0.0,8674433,0.0,1990-07-01
1990,8,0.0,8674433,0.0,1990-08-01
1990,9,0.0,8674433,0.0,1990-09-01
1990,10,0.0,8674433,0.0,1990-10-01
1990,11,0.0,8674433,0.0,1990-11-01
1990,12,0.0,8674433,0.0,1990-12-01
1991,1,0.0,8674433,0.0,1991-01-01
1991,2,0.0,8674433,0.0,1991-02-01
1991,3,0.0,8674433,0.0,1991-03-01
1991,4,0.0,8674433,0.0,1991-04-01
1991,5,0.0,8674433,0.0,1991-05-01
1991,6,0.0,8674433,0.0,1991-06-01
1991,7,0.0,8674433,0.0,1991-07-01
1991,8,0.0,8674433,0.0,1991-08-01
1991,9,0.0,8674433,0.0,1991-09-01
1991,10,351.43843434283446,7544062,0.13031064969894868,1991-10-01
1991,11,0.0,8674433,0.0,1991-11-01
1991,12,0.0,8674433,0.0,1991-12-01
1992,1,0.0,8674433,0.0,1992-01-01
1992,2,0.0,8674433,0.0,1992-02-01
1992,3,0.0,8674433,0.0,1992-03-01
1992,4,0.0,8674433,0.0,1992-04-01
1992,5,0.0,8674433,0.0,1992-05-01
1992,6,0.0,8674433,0.0,1992-06-01
1992,7,0.0,8674433,0.0,1992-07-01
1992,8,0.0,8674433,0.0,1992-08-01
1992,9,0.0,8674433,0.0,1992-09-01
1992,10,0.0,8674433,0.0,1992-10-01
1992,11,0.0,8674433,0.0,1992-11-01
1992,12,0.0,8674433,0.0,1992-12-01
1993,1,0.0,8674433,0.0,1993-01-01
1993,2,0.0,8674433,0.0,1993-02-01
1993,3,0.0,8674433,0.0,1993-03-01
1993,4,0.0,8674433,0.0,1993-04-01
